DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+390458236341,+390458236341,S4B
cattolica,+390458236346,+390458236346,S4B
cattolica,+390458236391,+390458236391,S4B
cattolica,+390458236392,+390458236392,S4B
cattolica,+390458236394,+390458236394,S4B
cattolica,+390458236398,+390458236398,S4B
cattolica,+390458236409,+390458236409,S4B
cattolica,+390458236410,+390458236410,S4B
cattolica,+390458236411,+390458236411,S4B
cattolica,+390458236415,+390458236415,S4B
cattolica,+390458236420,+390458236420,S4B
cattolica,+390458236434,+390458236434,S4B
cattolica,+390458236435,+390458236435,S4B
cattolica,+390458236442,+390458236442,S4B
cattolica,+390458236448,+390458236448,S4B
cattolica,+390458236449,+390458236449,S4B
cattolica,+390458236468,+390458236468,S4B
cattolica,+390458236478,+390458236478,S4B
cattolica,+390458236480,+390458236480,S4B
cattolica,+390458236481,+390458236481,S4B
cattolica,+390458236490,+390458236490,S4B
cattolica,+390458236511,+390458236511,S4B
cattolica,+390458236513,+390458236513,S4B
cattolica,+390458236514,+390458236514,S4B
cattolica,+390458236517,+390458236517,S4B
cattolica,+390458236521,+390458236521,S4B
cattolica,+390458236523,+390458236523,S4B
cattolica,+390458236525,+390458236525,S4B
cattolica,+390458236527,+390458236527,S4B
cattolica,+390458236529,+390458236529,S4B
cattolica,+390458236530,+390458236530,S4B
cattolica,+390458236531,+390458236531,S4B
cattolica,+390458236532,+390458236532,S4B
cattolica,+390458236533,+390458236533,S4B
cattolica,+390458236534,+390458236534,S4B
cattolica,+390458236536,+390458236536,S4B
cattolica,+390458236537,+390458236537,S4B
cattolica,+390458236538,+390458236538,S4B
cattolica,+390458236541,+390458236541,S4B
cattolica,+390458236542,+390458236542,S4B
cattolica,+390458236552,+390458236552,S4B
cattolica,+390458236575,+390458236575,S4B
cattolica,+390458236594,+390458236594,S4B
cattolica,+390458236669,+390458236669,S4B
cattolica,+390458236675,+390458236675,S4B
cattolica,+390458236678,+390458236678,S4B
cattolica,+390458236685,+390458236685,S4B
cattolica,+390458236691,+390458236691,S4B
cattolica,+390458236692,+390458236692,S4B
cattolica,+390458236711,+390458236711,S4B
cattolica,+390458236751,+390458236751,S4B
cattolica,+390458236758,+390458236758,S4B
cattolica,+390458236922,+390458236922,S4B
cattolica,+390458236924,+390458236924,S4B
cattolica,+390458270701,+390458270701,S4B
cattolica,+390458270702,+390458270702,S4B
cattolica,+390458270703,+390458270703,S4B
cattolica,+390458270704,+390458270704,S4B
cattolica,+390458270706,+390458270706,S4B
cattolica,+390458270731,+390458270731,S4B
cattolica,+390458270732,+390458270732,S4B
cattolica,+390458270734,+390458270734,S4B
cattolica,+390458270735,+390458270735,S4B
cattolica,+390458270741,+390458270741,S4B
cattolica,+390458270755,+390458270755,S4B
cattolica,+390458270759,+390458270759,S4B
cattolica,+390458270772,+390458270772,S4B
cattolica,+390458270776,+390458270776,S4B
cattolica,+390458270789,+390458270789,S4B
cattolica,+390458270790,+390458270790,S4B
cattolica,+390458270791,+390458270791,S4B
cattolica,+390458270792,+390458270792,S4B
cattolica,+390458270794,+390458270794,S4B
cattolica,+390458270796,+390458270796,S4B
cattolica,+390458270797,+390458270797,S4B
cattolica,+390458391002,+390458391002,S4B
cattolica,+390458391003,+390458391003,S4B
cattolica,+390458391004,+390458391004,S4B
cattolica,+390458391006,+390458391006,S4B
cattolica,+390458391007,+390458391007,S4B
cattolica,+390458391008,+390458391008,S4B
cattolica,+390458391009,+390458391009,S4B
cattolica,+390458391011,+390458391011,S4B
cattolica,+390458391019,+390458391019,S4B
cattolica,+390458391020,+390458391020,S4B
cattolica,+390458391021,+390458391021,S4B
cattolica,+390458391022,+390458391022,S4B
cattolica,+390458391026,+390458391026,S4B
cattolica,+390458391027,+390458391027,S4B
cattolica,+390458391028,+390458391028,S4B
cattolica,+390458391030,+390458391030,S4B
cattolica,+390458391034,+390458391034,S4B
cattolica,+390458391035,+390458391035,S4B
cattolica,+390458391036,+390458391036,S4B
cattolica,+390458391037,+390458391037,S4B
cattolica,+390458391038,+390458391038,S4B
cattolica,+390458391039,+390458391039,S4B
cattolica,+390458391040,+390458391040,S4B
cattolica,+390458391041,+390458391041,S4B
cattolica,+390458391042,+390458391042,S4B
cattolica,+390458391043,+390458391043,S4B
cattolica,+390458391044,+390458391044,S4B
cattolica,+390458391045,+390458391045,S4B
cattolica,+390458391046,+390458391046,S4B
cattolica,+390458391047,+390458391047,S4B
cattolica,+390458391048,+390458391048,S4B
cattolica,+390458391049,+390458391049,S4B
cattolica,+390458391050,+390458391050,S4B
cattolica,+390458391051,+390458391051,S4B
cattolica,+390458391052,+390458391052,S4B
cattolica,+390458391053,+390458391053,S4B
cattolica,+390458391054,+390458391054,S4B
cattolica,+390458391056,+390458391056,S4B
cattolica,+390458391057,+390458391057,S4B
cattolica,+390458391058,+390458391058,S4B
cattolica,+390458391059,+390458391059,S4B
cattolica,+390458391060,+390458391060,S4B
cattolica,+390458391061,+390458391061,S4B
cattolica,+390458391062,+390458391062,S4B
cattolica,+390458391063,+390458391063,S4B
cattolica,+390458391064,+390458391064,S4B
cattolica,+390458391065,+390458391065,S4B
cattolica,+390458391066,+390458391066,S4B
cattolica,+390458391068,+390458391068,S4B
cattolica,+390458391069,+390458391069,S4B
cattolica,+390458391070,+390458391070,S4B
cattolica,+390458391071,+390458391071,S4B
cattolica,+390458391072,+390458391072,S4B
cattolica,+390458391073,+390458391073,S4B
cattolica,+390458391074,+390458391074,S4B
cattolica,+390458391075,+390458391075,S4B
cattolica,+390458391076,+390458391076,S4B
cattolica,+390458391077,+390458391077,S4B
cattolica,+390458391078,+390458391078,S4B
cattolica,+390458391079,+390458391079,S4B
cattolica,+390458391080,+390458391080,S4B
cattolica,+390458391081,+390458391081,S4B
cattolica,+390458391082,+390458391082,S4B
cattolica,+390458391083,+390458391083,S4B
cattolica,+390458391084,+390458391084,S4B
